n,repetition,theta_NO_s,theta_BH_s,t_NO_s,t_BH_s,theta_plus_t_NO_s,theta_plus_t_BH_s,theta_NO_numba_s,theta_BH_numba_s
1,48,2.7000060072168708e-06,5.900001269765198e-06,1.000000338535756e-05,9.60000033956021e-06,1.270000939257443e-05,1.550000160932541e-05,1.8999999156221747e-06,2.40000372286886e-06
1,49,2.5000044843181968e-06,5.900001269765198e-06,1.0100004146806896e-05,9.700001101009548e-06,1.2600008631125093e-05,1.5600002370774746e-05,1.8999999156221747e-06,2.4999972083605826e-06
1,50,2.59999796980992e-06,6.000002031214535e-06,9.79999458650127e-06,9.79999458650127e-06,1.239999255631119e-05,1.5799996617715806e-05,2.000000677071512e-06,2.59999796980992e-06
1,51,2.4999972083605826e-06,5.800000508315861e-06,9.800001862458885e-06,9.60000033956021e-06,1.2299999070819467e-05,1.5400000847876072e-05,1.8999999156221747e-06,2.4999972083605826e-06
1,52,2.7999994927085936e-06,5.900001269765198e-06,9.800001862458885e-06,1.0099996870849282e-05,1.2600001355167478e-05,1.599999814061448e-05,2.000000677071512e-06,2.5000044843181968e-06
1,53,2.59999796980992e-06,6.000002031214535e-06,1.000000338535756e-05,9.60000033956021e-06,1.2600001355167478e-05,1.5600002370774746e-05,1.8999999156221747e-06,2.5000044843181968e-06
1,54,2.4999972083605826e-06,5.900001269765198e-06,1.049999991664663e-05,9.899995347950608e-06,1.2999997125007212e-05,1.5799996617715806e-05,2.000000677071512e-06,2.4999972083605826e-06
1,55,2.90000025415793e-06,5.699999746866524e-06,1.0100004146806896e-05,9.800001862458885e-06,1.3000004400964826e-05,1.550000160932541e-05,2.199994924012572e-06,2.59999796980992e-06
1,56,2.6999987312592566e-06,5.599998985417187e-06,9.60000033956021e-06,9.499999578110874e-06,1.2299999070819467e-05,1.509999856352806e-05,2.000000677071512e-06,2.5000044843181968e-06
1,57,2.59999796980992e-06,5.800000508315861e-06,9.800001862458885e-06,9.499999578110874e-06,1.2399999832268804e-05,1.5300000086426735e-05,2.299995685461909e-06,2.90000025415793e-06
1,58,2.6000052457675338e-06,5.800000508315861e-06,9.700001101009548e-06,9.499999578110874e-06,1.230000634677708e-05,1.5300000086426735e-05,2.0999941625632346e-06,2.7999994927085936e-06
1,59,2.7000060072168708e-06,5.900001269765198e-06,1.1900003300979732e-05,9.700001101009548e-06,1.4600009308196604e-05,1.5600002370774746e-05,2.40000372286886e-06,2.5000044843181968e-06
1,60,2.800006768666208e-06,5.899993993807584e-06,9.900002623908222e-06,9.60000033956021e-06,1.270000939257443e-05,1.5499994333367795e-05,2.4999972083605826e-06,2.4999972083605826e-06
1,61,2.7999994927085936e-06,6.400005077011883e-06,1.0200004908256233e-05,9.60000033956021e-06,1.3000004400964826e-05,1.6000005416572094e-05,2.000000677071512e-06,2.40000372286886e-06
1,62,2.6000052457675338e-06,5.800000508315861e-06,9.599993063602597e-06,9.499999578110874e-06,1.219999830937013e-05,1.5300000086426735e-05,1.9999934011138976e-06,2.4999972083605826e-06
1,63,2.4999972083605826e-06,5.800000508315861e-06,9.499999578110874e-06,9.200004569720475e-06,1.1999996786471456e-05,1.5000005078036338e-05,2.000000677071512e-06,2.59999796980992e-06
